E,31,0,15000
E,741,0,7500
E,1,0,5000
E,126,0,3750
E,747,0,3000
E,520,0,2500
E,20,0,2142
E,31,0,1875
E,267,0,1666
E,410,0,1500
E,480,0,1363
E,718,0,1250
E,471,0,1153
E,530,0,1071
E,489,0,1000
E,374,0,937
E,396,0,882
E,606,0,833
E,619,0,789
E,371,0,750
E,191,0,714
E,378,0,681
E,502,0,652
E,510,0,625
E,522,0,600
S,0,48,15000
S,0,107,7500
S,0,392,5000
S,0,192,3750
S,0,273,3000
S,800,69,2500
S,800,442,2142
S,0,245,1875
S,0,42,1666
S,0,44,1500
S,800,215,1363
S,0,346,1250
S,0,494,1153
S,0,16,1071
S,0,194,1000
S,0,449,937
S,0,435,882
S,0,459,833
S,0,466,789
S,800,332,750
S,800,489,714
S,800,383,681
S,0,480,652
S,0,310,625
S,800,265,600
